name,mos,DT,distortion_type
loot_00.ply,6.996153846,0,Octree_based_compression
loot_01.ply,7.0859375,0,Octree_based_compression
loot_02.ply,5.383333333,0,Octree_based_compression
loot_03.ply,5.208333333,0,Octree_based_compression
loot_04.ply,6.679846939,0,Octree_based_compression
loot_05.ply,2.708333333,0,Octree_based_compression
loot_06.ply,9.65,1,Color_Noise
loot_07.ply,7.316666667,1,Color_Noise
loot_08.ply,5.396683673,1,Color_Noise
loot_09.ply,4.584615385,1,Color_Noise
loot_10.ply,4.230867347,1,Color_Noise
loot_11.ply,4.0625,1,Color_Noise
loot_12.ply,8.267307692,2,Downscaling
loot_13.ply,8.613520408,2,Downscaling
loot_14.ply,7.676020408,2,Downscaling
loot_15.ply,5.78125,2,Downscaling
loot_16.ply,2.975,2,Downscaling
loot_17.ply,1.85,2,Downscaling
loot_18.ply,8.180769231,3,Downscaling_and_Color_noise
loot_19.ply,6.925,3,Downscaling_and_Color_noise
loot_20.ply,4.8,3,Downscaling_and_Color_noise
loot_21.ply,4.299744898,3,Downscaling_and_Color_noise
loot_22.ply,2.283333333,3,Downscaling_and_Color_noise
loot_23.ply,1.223076923,3,Downscaling_and_Color_noise
loot_24.ply,7.190384615,4,Downscaling_and_Geometry_Gaussian_noise
loot_25.ply,7.28125,4,Downscaling_and_Geometry_Gaussian_noise
loot_26.ply,4.166666667,4,Downscaling_and_Geometry_Gaussian_noise
loot_27.ply,2.376923077,4,Downscaling_and_Geometry_Gaussian_noise
loot_28.ply,1.703846154,4,Downscaling_and_Geometry_Gaussian_noise
loot_29.ply,1.0,4,Downscaling_and_Geometry_Gaussian_noise
loot_30.ply,7.341666667,5,Geometry_Gaussian_noise
loot_31.ply,7.765306122,5,Geometry_Gaussian_noise
loot_32.ply,4.775,5,Geometry_Gaussian_noise
loot_33.ply,2.825,5,Geometry_Gaussian_noise
loot_34.ply,2.492346939,5,Geometry_Gaussian_noise
loot_35.ply,1.223076923,5,Geometry_Gaussian_noise
loot_36.ply,8.344230769,6,Color_noise_and_Geometry_Gaussian_noise
loot_37.ply,6.7,6,Color_noise_and_Geometry_Gaussian_noise
loot_38.ply,4.25,6,Color_noise_and_Geometry_Gaussian_noise
loot_39.ply,2.758333333,6,Color_noise_and_Geometry_Gaussian_noise
loot_40.ply,1.934615385,6,Color_noise_and_Geometry_Gaussian_noise
loot_41.ply,1.2,6,Color_noise_and_Geometry_Gaussian_noise
soldier_00.ply,8.3203125,0,Octree_based_compression
soldier_01.ply,5.783333333,0,Octree_based_compression
soldier_02.ply,5.832692308,0,Octree_based_compression
soldier_03.ply,6.175,0,Octree_based_compression
soldier_04.ply,5.083333333,0,Octree_based_compression
soldier_05.ply,3.835459184,0,Octree_based_compression
soldier_06.ply,9.583333333,1,Color_Noise
soldier_07.ply,6.950255102,1,Color_Noise
soldier_08.ply,5.813461538,1,Color_Noise
soldier_09.ply,6.069230769,1,Color_Noise
soldier_10.ply,4.516666667,1,Color_Noise
soldier_11.ply,3.909438776,1,Color_Noise
soldier_12.ply,7.615384615,2,Downscaling
soldier_13.ply,8.5234375,2,Downscaling
soldier_14.ply,7.68877551,2,Downscaling
soldier_15.ply,5.623076923,2,Downscaling
soldier_16.ply,4.1171875,2,Downscaling
soldier_17.ply,1.934615385,2,Downscaling
soldier_18.ply,9.178571429,3,Downscaling_and_Color_noise
soldier_19.ply,8.1328125,3,Downscaling_and_Color_noise
soldier_20.ply,5.765625,3,Downscaling_and_Color_noise
soldier_21.ply,4.463461538,3,Downscaling_and_Color_noise
soldier_22.ply,3.1640625,3,Downscaling_and_Color_noise
soldier_23.ply,1.491666667,3,Downscaling_and_Color_noise
soldier_24.ply,7.816666667,4,Downscaling_and_Geometry_Gaussian_noise
soldier_25.ply,5.833333333,4,Downscaling_and_Geometry_Gaussian_noise
soldier_26.ply,4.5546875,4,Downscaling_and_Geometry_Gaussian_noise
soldier_27.ply,1.7265625,4,Downscaling_and_Geometry_Gaussian_noise
soldier_28.ply,1.781887755,4,Downscaling_and_Geometry_Gaussian_noise
soldier_29.ply,1.0,4,Downscaling_and_Geometry_Gaussian_noise
soldier_30.ply,7.825,5,Geometry_Gaussian_noise
soldier_31.ply,7.6640625,5,Geometry_Gaussian_noise
soldier_32.ply,4.334615385,5,Geometry_Gaussian_noise
soldier_33.ply,2.280769231,5,Geometry_Gaussian_noise
soldier_34.ply,1.8671875,5,Geometry_Gaussian_noise
soldier_35.ply,1.234693878,5,Geometry_Gaussian_noise
soldier_36.ply,8.65,6,Color_noise_and_Geometry_Gaussian_noise
soldier_37.ply,7.084183673,6,Color_noise_and_Geometry_Gaussian_noise
soldier_38.ply,4.358333333,6,Color_noise_and_Geometry_Gaussian_noise
