name,mos,DT,distortion_type
unicorn_00.ply,8.220663265,0,Octree_based_compression
unicorn_01.ply,7.405769231,0,Octree_based_compression
unicorn_02.ply,6.975,0,Octree_based_compression
unicorn_03.ply,6.1015625,0,Octree_based_compression
unicorn_04.ply,4.963461538,0,Octree_based_compression
unicorn_05.ply,2.380102041,0,Octree_based_compression
unicorn_06.ply,7.688461538,1,Color_Noise
unicorn_07.ply,8.3671875,1,Color_Noise
unicorn_08.ply,6.553571429,1,Color_Noise
unicorn_09.ply,6.880769231,1,Color_Noise
unicorn_10.ply,6.348076923,1,Color_Noise
unicorn_11.ply,5.9453125,1,Color_Noise
unicorn_12.ply,7.352040816,2,Downscaling
unicorn_13.ply,5.857692308,2,Downscaling
unicorn_14.ply,6.226923077,2,Downscaling
unicorn_15.ply,5.525510204,2,Downscaling
unicorn_16.ply,3.5859375,2,Downscaling
unicorn_17.ply,1.848076923,2,Downscaling
unicorn_18.ply,6.841666667,3,Downscaling_and_Color_noise
unicorn_19.ply,6.5703125,3,Downscaling_and_Color_noise
unicorn_20.ply,5.141666667,3,Downscaling_and_Color_noise
unicorn_21.ply,4.234375,3,Downscaling_and_Color_noise
unicorn_22.ply,3.455769231,3,Downscaling_and_Color_noise
unicorn_23.ply,1.37755102,3,Downscaling_and_Color_noise
unicorn_24.ply,7.2,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_25.ply,5.9296875,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_26.ply,4.6328125,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_27.ply,2.067602041,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_28.ply,1.5,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_29.ply,1.223076923,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_30.ply,7.767857143,5,Geometry_Gaussian_noise
unicorn_31.ply,7.155612245,5,Geometry_Gaussian_noise
unicorn_32.ply,4.590561224,5,Geometry_Gaussian_noise
unicorn_33.ply,2.609375,5,Geometry_Gaussian_noise
unicorn_34.ply,1.857692308,5,Geometry_Gaussian_noise
unicorn_35.ply,1.3,5,Geometry_Gaussian_noise
unicorn_36.ply,8.375,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_37.ply,7.066326531,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_38.ply,5.15,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_39.ply,3.103316327,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_40.ply,2.2,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_41.ply,1.306122449,6,Color_noise_and_Geometry_Gaussian_noise
statue_00.ply,6.908333333,0,Octree_based_compression
statue_01.ply,7.6328125,0,Octree_based_compression
statue_02.ply,6.168367347,0,Octree_based_compression
statue_03.ply,4.93877551,0,Octree_based_compression
statue_04.ply,3.015625,0,Octree_based_compression
statue_05.ply,1.453125,0,Octree_based_compression
statue_06.ply,7.40625,1,Color_Noise
statue_07.ply,5.459183673,1,Color_Noise
statue_08.ply,6.4,1,Color_Noise
statue_09.ply,5.899234694,1,Color_Noise
statue_10.ply,6.588461538,1,Color_Noise
statue_11.ply,5.107692308,1,Color_Noise
statue_12.ply,7.825,2,Downscaling
statue_13.ply,6.133333333,2,Downscaling
statue_14.ply,6.054846939,2,Downscaling
statue_15.ply,3.965384615,2,Downscaling
statue_16.ply,3.4921875,2,Downscaling
statue_17.ply,1.1875,2,Downscaling
statue_18.ply,7.141666667,3,Downscaling_and_Color_noise
statue_19.ply,6.762755102,3,Downscaling_and_Color_noise
statue_20.ply,6.1328125,3,Downscaling_and_Color_noise
statue_21.ply,3.441326531,3,Downscaling_and_Color_noise
