name,mos,distortion_type,DT
p26_geocnn_r01.ply,3.523156399,geocnn,0
p26_geocnn_r02.ply,3.794443623,geocnn,0
p26_geocnn_r03.ply,4.030388401,geocnn,0
p26_geocnn_r04.ply,4.277576267,geocnn,0
p26_gpcc-octree-predlift_r02.ply,1.203682991,gpcc_octree_predlift,1
p26_gpcc-octree-predlift_r03.ply,2.63521511,gpcc_octree_predlift,1
p26_gpcc-octree-predlift_r04.ply,4.122144992,gpcc_octree_predlift,1
p26_gpcc-octree-predlift_r05.ply,4.461635088,gpcc_octree_predlift,1
p26_gpcc-octree-predlift_r06.ply,4.612069736,gpcc_octree_predlift,1
p26_gpcc-octree-raht_r02.ply,1.118931872,octree_raht,2
p26_gpcc-octree-raht_r03.ply,1.973384531,octree_raht,2
p26_gpcc-octree-raht_r04.ply,3.921120619,octree_raht,2
p26_gpcc-octree-raht_r05.ply,4.521009979,octree_raht,2
p26_gpcc-octree-raht_r06.ply,4.569581879,octree_raht,2
p26_vpcc_r00.ply,1.751934589,VPCC,3
p26_vpcc_r01.ply,2.882829187,VPCC,3
p26_vpcc_r02.ply,3.55482374,VPCC,3
p26_vpcc_r03.ply,4.179329773,VPCC,3
p26_vpcc_r04.ply,4.696900782,VPCC,3
p26_vpcc_r05.ply,4.664832252,VPCC,3
p27_geocnn_r01.ply,3.51896975,geocnn,0
p27_geocnn_r02.ply,4.426499827,geocnn,0
p27_geocnn_r03.ply,4.44939006,geocnn,0
p27_geocnn_r04.ply,4.720566973,geocnn,0
p27_gpcc-octree-predlift_r02.ply,1.34406289,gpcc_octree_predlift,1
p27_gpcc-octree-predlift_r03.ply,3.100691438,gpcc_octree_predlift,1
p27_gpcc-octree-predlift_r04.ply,4.386814418,gpcc_octree_predlift,1
p27_gpcc-octree-predlift_r05.ply,4.478545686,gpcc_octree_predlift,1
p27_gpcc-octree-predlift_r06.ply,4.556572199,gpcc_octree_predlift,1
p27_gpcc-octree-raht_r02.ply,1.207104028,octree_raht,2
p27_gpcc-octree-raht_r03.ply,2.847057316,octree_raht,2
p27_gpcc-octree-raht_r04.ply,3.879792144,octree_raht,2
p27_gpcc-octree-raht_r05.ply,4.660069674,octree_raht,2
p27_gpcc-octree-raht_r06.ply,4.621706196,octree_raht,2
p27_vpcc_r00.ply,2.733374048,VPCC,3
p27_vpcc_r01.ply,3.3677365,VPCC,3
p27_vpcc_r02.ply,3.920227191,VPCC,3
p27_vpcc_r03.ply,4.368681952,VPCC,3
p27_vpcc_r04.ply,4.564288034,VPCC,3
p27_vpcc_r05.ply,4.608212709,VPCC,3
p28_geocnn_r01.ply,4.009246405,geocnn,0
p28_geocnn_r02.ply,4.411908838,geocnn,0
p28_geocnn_r03.ply,4.560125952,geocnn,0
p28_geocnn_r04.ply,4.709449264,geocnn,0
p28_gpcc-octree-predlift_r02.ply,1.32931314,gpcc_octree_predlift,1
p28_gpcc-octree-predlift_r03.ply,3.202188441,gpcc_octree_predlift,1
p28_gpcc-octree-predlift_r04.ply,4.41529549,gpcc_octree_predlift,1
p28_gpcc-octree-predlift_r05.ply,4.713794751,gpcc_octree_predlift,1
p28_gpcc-octree-predlift_r06.ply,4.805735032,gpcc_octree_predlift,1
p28_gpcc-octree-raht_r02.ply,1.141030856,octree_raht,2
p28_gpcc-octree-raht_r03.ply,2.92407346,octree_raht,2
p28_gpcc-octree-raht_r04.ply,4.370677083,octree_raht,2
p28_gpcc-octree-raht_r05.ply,4.575142614,octree_raht,2
p28_gpcc-octree-raht_r06.ply,4.772323581,octree_raht,2
p28_vpcc_r00.ply,2.743201932,VPCC,3
p28_vpcc_r01.ply,3.336559156,VPCC,3
p28_vpcc_r02.ply,3.918099777,VPCC,3
p28_vpcc_r03.ply,4.7292052,VPCC,3
p28_vpcc_r04.ply,4.770591514,VPCC,3
p28_vpcc_r05.ply,4.84061814,VPCC,3
p33_geocnn_r01.ply,2.223678361,geocnn,0
p33_geocnn_r02.ply,2.946690185,geocnn,0
p33_geocnn_r03.ply,3.644832287,geocnn,0
p33_geocnn_r04.ply,4.42364513,geocnn,0
p33_gpcc-octree-predlift_r02.ply,1.415597296,gpcc_octree_predlift,1
p33_gpcc-octree-predlift_r03.ply,2.737912831,gpcc_octree_predlift,1
p33_gpcc-octree-predlift_r04.ply,3.915885839,gpcc_octree_predlift,1
p33_gpcc-octree-predlift_r05.ply,4.297296109,gpcc_octree_predlift,1
p33_gpcc-octree-predlift_r06.ply,4.340243835,gpcc_octree_predlift,1
p33_gpcc-octree-raht_r02.ply,1.551726022,octree_raht,2
p33_gpcc-octree-raht_r03.ply,2.516853103,octree_raht,2
p33_gpcc-octree-raht_r04.ply,3.617635422,octree_raht,2
p33_gpcc-octree-raht_r05.ply,3.953140546,octree_raht,2
p33_gpcc-octree-raht_r06.ply,4.308352381,octree_raht,2
p33_vpcc_r00.ply,1.78443828,VPCC,3
p33_vpcc_r01.ply,1.908650543,VPCC,3
p33_vpcc_r02.ply,2.472965682,VPCC,3
p33_vpcc_r03.ply,2.525017957,VPCC,3
p33_vpcc_r04.ply,2.636931588,VPCC,3
p33_vpcc_r05.ply,3.26293341,VPCC,3
p35_geocnn_r01.ply,3.844392178,geocnn,0
p35_geocnn_r02.ply,4.421661609,geocnn,0
p35_geocnn_r03.ply,4.449023535,geocnn,0
p35_geocnn_r04.ply,4.736201111,geocnn,0
p35_gpcc-octree-predlift_r02.ply,1.332897373,gpcc_octree_predlift,1
p35_gpcc-octree-predlift_r03.ply,3.006372097,gpcc_octree_predlift,1
p35_gpcc-octree-predlift_r04.ply,4.225658591,gpcc_octree_predlift,1
p35_gpcc-octree-predlift_r05.ply,4.563370505,gpcc_octree_predlift,1
p35_gpcc-octree-predlift_r06.ply,4.73569461,gpcc_octree_predlift,1
p35_gpcc-octree-raht_r02.ply,1.369530651,octree_raht,2
p35_gpcc-octree-raht_r03.ply,2.231092089,octree_raht,2
p35_gpcc-octree-raht_r04.ply,4.17218507,octree_raht,2
p35_gpcc-octree-raht_r05.ply,4.729700233,octree_raht,2
