name,mos,DT,distortion_type
romanoillamp_00.ply,9.116666667,0,Octree_based_compression
romanoillamp_01.ply,9.321428571,0,Octree_based_compression
romanoillamp_02.ply,9.682692308,0,Octree_based_compression
romanoillamp_03.ply,8.62244898,0,Octree_based_compression
romanoillamp_04.ply,7.691326531,0,Octree_based_compression
romanoillamp_05.ply,3.6171875,0,Octree_based_compression
romanoillamp_06.ply,8.771683673,1,Color_Noise
romanoillamp_07.ply,7.568877551,1,Color_Noise
romanoillamp_08.ply,6.619897959,1,Color_Noise
romanoillamp_09.ply,7.808333333,1,Color_Noise
romanoillamp_10.ply,6.953125,1,Color_Noise
romanoillamp_11.ply,6.2265625,1,Color_Noise
romanoillamp_12.ply,7.941666667,2,Downscaling
romanoillamp_13.ply,8.163461538,2,Downscaling
romanoillamp_14.ply,8.25,2,Downscaling
romanoillamp_15.ply,7.544230769,2,Downscaling
romanoillamp_16.ply,5.125,2,Downscaling
romanoillamp_17.ply,2.723076923,2,Downscaling
romanoillamp_18.ply,9.553571429,3,Downscaling_and_Color_noise
romanoillamp_19.ply,8.71875,3,Downscaling_and_Color_noise
romanoillamp_20.ply,7.296153846,3,Downscaling_and_Color_noise
romanoillamp_21.ply,6.198076923,3,Downscaling_and_Color_noise
romanoillamp_22.ply,6.667091837,3,Downscaling_and_Color_noise
romanoillamp_23.ply,2.6,3,Downscaling_and_Color_noise
romanoillamp_24.ply,8.008333333,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_25.ply,8.7734375,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_26.ply,6.533333333,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_27.ply,3.125,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_28.ply,2.411989796,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_29.ply,1.433333333,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_30.ply,9.40625,5,Geometry_Gaussian_noise
romanoillamp_31.ply,7.008333333,5,Geometry_Gaussian_noise
romanoillamp_32.ply,6.166666667,5,Geometry_Gaussian_noise
romanoillamp_33.ply,3.93622449,5,Geometry_Gaussian_noise
romanoillamp_34.ply,3.7734375,5,Geometry_Gaussian_noise
romanoillamp_35.ply,1.5703125,5,Geometry_Gaussian_noise
romanoillamp_36.ply,8.433333333,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_37.ply,8.5625,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_38.ply,7.1953125,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_39.ply,3.545918367,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_40.ply,2.811538462,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_41.ply,1.223076923,6,Color_noise_and_Geometry_Gaussian_noise
statue_00.ply,6.908333333,0,Octree_based_compression
statue_01.ply,7.6328125,0,Octree_based_compression
statue_02.ply,6.168367347,0,Octree_based_compression
statue_03.ply,4.93877551,0,Octree_based_compression
statue_04.ply,3.015625,0,Octree_based_compression
statue_05.ply,1.453125,0,Octree_based_compression
statue_06.ply,7.40625,1,Color_Noise
statue_07.ply,5.459183673,1,Color_Noise
statue_08.ply,6.4,1,Color_Noise
statue_09.ply,5.899234694,1,Color_Noise
statue_10.ply,6.588461538,1,Color_Noise
statue_11.ply,5.107692308,1,Color_Noise
statue_12.ply,7.825,2,Downscaling
statue_13.ply,6.133333333,2,Downscaling
statue_14.ply,6.054846939,2,Downscaling
statue_15.ply,3.965384615,2,Downscaling
statue_16.ply,3.4921875,2,Downscaling
statue_17.ply,1.1875,2,Downscaling
statue_18.ply,7.141666667,3,Downscaling_and_Color_noise
statue_19.ply,6.762755102,3,Downscaling_and_Color_noise
statue_20.ply,6.1328125,3,Downscaling_and_Color_noise
statue_21.ply,3.441326531,3,Downscaling_and_Color_noise
statue_22.ply,2.5546875,3,Downscaling_and_Color_noise
statue_23.ply,1.0,3,Downscaling_and_Color_noise
statue_24.ply,5.81377551,4,Downscaling_and_Geometry_Gaussian_noise
statue_25.ply,5.808673469,4,Downscaling_and_Geometry_Gaussian_noise
statue_26.ply,4.765625,4,Downscaling_and_Geometry_Gaussian_noise
statue_27.ply,1.916666667,4,Downscaling_and_Geometry_Gaussian_noise
statue_28.ply,2.073979592,4,Downscaling_and_Geometry_Gaussian_noise
statue_29.ply,1.0,4,Downscaling_and_Geometry_Gaussian_noise
statue_30.ply,6.795918367,5,Geometry_Gaussian_noise
statue_31.ply,6.525,5,Geometry_Gaussian_noise
statue_32.ply,6.536989796,5,Geometry_Gaussian_noise
statue_33.ply,2.85,5,Geometry_Gaussian_noise
statue_34.ply,1.625,5,Geometry_Gaussian_noise
statue_35.ply,1.69005102,5,Geometry_Gaussian_noise
statue_36.ply,8.121153846,6,Color_noise_and_Geometry_Gaussian_noise
statue_37.ply,6.784615385,6,Color_noise_and_Geometry_Gaussian_noise
statue_38.ply,5.184615385,6,Color_noise_and_Geometry_Gaussian_noise
statue_39.ply,3.1796875,6,Color_noise_and_Geometry_Gaussian_noise
statue_40.ply,2.463010204,6,Color_noise_and_Geometry_Gaussian_noise
statue_41.ply,1.617307692,6,Color_noise_and_Geometry_Gaussian_noise
