Original,name,mos,DT,Codec,Tradeoff,Rate,STD,CONF_INT
Thaidancer,Thaidancer_gpcc_p1_r02.ply,1.0,0,gpcc,p1,r1,0.0,0.0
Thaidancer,Thaidancer_gpcc_p1_r03.ply,1.8,0,gpcc,p1,r2,0.81240384,0.356045139
Thaidancer,Thaidancer_gpcc_p1_r04.ply,3.55,0,gpcc,p1,r3,0.864580823,0.37891229
Thaidancer,Thaidancer_gpcc_p1_r05.ply,4.75,0,gpcc,p1,r4,0.433012702,0.189772697
Thaidancer,Thaidancer_gpcc_p2_r02.ply,1.05,0,gpcc,p2,r1,0.217944947,0.095516829
Thaidancer,Thaidancer_gpcc_p2_r03.ply,1.4,0,gpcc,p2,r2,0.489897949,0.214703297
Thaidancer,Thaidancer_gpcc_p2_r04.ply,3.4,0,gpcc,p2,r3,0.734846923,0.322054946
Thaidancer,Thaidancer_gpcc_p2_r05.ply,4.75,0,gpcc,p2,r4,0.433012702,0.189772697
Thaidancer,Thaidancer_gpcc_p3_r02.ply,1.05,0,gpcc,p3,r1,0.217944947,0.095516829
Thaidancer,Thaidancer_gpcc_p3_r03.ply,1.7,0,gpcc,p3,r2,0.953939201,0.418074606
Thaidancer,Thaidancer_gpcc_p3_r04.ply,2.95,0,gpcc,p3,r3,0.589491306,0.258351209
Thaidancer,Thaidancer_gpcc_p3_r05.ply,4.55,0,gpcc,p3,r4,0.589491306,0.258351209
Thaidancer,Thaidancer_vpcc_p1_r1.ply,4.2,1,vpcc,p1,r1,0.6,0.262956762
Thaidancer,Thaidancer_vpcc_p1_r2.ply,4.45,1,vpcc,p1,r2,0.589491306,0.258351209
Thaidancer,Thaidancer_vpcc_p1_r3.ply,4.5,1,vpcc,p1,r3,0.670820393,0.293994598
Thaidancer,Thaidancer_vpcc_p1_r4.ply,4.8,1,vpcc,p1,r4,0.4,0.175304508
Thaidancer,Thaidancer_vpcc_p2_r1.ply,3.25,1,vpcc,p2,r1,0.766485486,0.335920903
Thaidancer,Thaidancer_vpcc_p2_r2.ply,4.5,1,vpcc,p2,r2,0.5,0.219130635
Thaidancer,Thaidancer_vpcc_p2_r3.ply,4.65,1,vpcc,p2,r3,0.476969601,0.209037303
Thaidancer,Thaidancer_vpcc_p2_r4.ply,4.75,1,vpcc,p2,r4,0.698212002,0.305999279
Thaidancer,Thaidancer_vpcc_p3_r1.ply,3.45,1,vpcc,p3,r1,0.589491306,0.258351209
Thaidancer,Thaidancer_vpcc_p3_r2.ply,4.4,1,vpcc,p3,r2,0.583095189,0.255548038
Thaidancer,Thaidancer_vpcc_p3_r3.ply,4.75,1,vpcc,p3,r3,0.433012702,0.189772697
Thaidancer,Thaidancer_vpcc_p3_r4.ply,4.85,1,vpcc,p3,r4,0.357071421,0.156490575
Thaidancer,Thaidancer_jpeg_p1_r1.ply,1.15,2,jpeg,p1,r1,0.357071421,0.156490575
Thaidancer,Thaidancer_jpeg_p1_r2.ply,2.2,2,jpeg,p1,r2,0.678232998,0.297243255
Thaidancer,Thaidancer_jpeg_p1_r3.ply,4.25,2,jpeg,p1,r3,0.536190265,0.234991427
Thaidancer,Thaidancer_jpeg_p1_r4.ply,4.65,2,jpeg,p1,r4,0.726291952,0.318305634
Thaidancer,Thaidancer_jpeg_p2_r1.ply,1.2,2,jpeg,p2,r1,0.509901951,0.223470277
Thaidancer,Thaidancer_jpeg_p2_r2.ply,2.6,2,jpeg,p2,r2,0.8,0.350609016
Thaidancer,Thaidancer_jpeg_p2_r3.ply,4.25,2,jpeg,p2,r3,0.698212002,0.305999279
Thaidancer,Thaidancer_jpeg_p2_r4.ply,4.55,2,jpeg,p2,r4,0.497493719,0.218032229
Thaidancer,Thaidancer_jpeg_p3_r1.ply,1.2,2,jpeg,p3,r1,0.4,0.175304508
Thaidancer,Thaidancer_jpeg_p3_r2.ply,1.4,2,jpeg,p3,r2,0.489897949,0.214703297
Thaidancer,Thaidancer_jpeg_p3_r3.ply,3.6,2,jpeg,p3,r3,0.734846923,0.322054946
Thaidancer,Thaidancer_jpeg_p3_r4.ply,4.75,2,jpeg,p3,r4,0.433012702,0.189772697
Soldier,Soldier_gpcc_p1_r02.ply,1.2,0,gpcc,p1,r1,0.4,0.175304508
Soldier,Soldier_gpcc_p1_r03.ply,2.8,0,gpcc,p1,r2,0.678232998,0.297243255
Soldier,Soldier_gpcc_p1_r04.ply,4.1,0,gpcc,p1,r3,0.538516481,0.236010917
Soldier,Soldier_gpcc_p1_r05.ply,4.65,0,gpcc,p1,r4,0.476969601,0.209037303
Soldier,Soldier_gpcc_p2_r02.ply,1.55,0,gpcc,p2,r1,0.668954408,0.293176809
Soldier,Soldier_gpcc_p2_r03.ply,3.2,0,gpcc,p2,r2,0.92736185,0.406426782
Soldier,Soldier_gpcc_p2_r04.ply,4.2,0,gpcc,p2,r3,0.678232998,0.297243255
Soldier,Soldier_gpcc_p2_r05.ply,4.6,0,gpcc,p2,r4,0.583095189,0.255548038
Soldier,Soldier_gpcc_p3_r02.ply,1.6,0,gpcc,p3,r1,0.583095189,0.255548038
Soldier,Soldier_gpcc_p3_r03.ply,3.05,0,gpcc,p3,r2,0.804673847,0.352657382
Soldier,Soldier_gpcc_p3_r04.ply,4.05,0,gpcc,p3,r3,0.668954408,0.293176809
Soldier,Soldier_gpcc_p3_r05.ply,4.45,0,gpcc,p3,r4,0.668954408,0.293176809
Soldier,Soldier_vpcc_p1_r1.ply,3.0,1,vpcc,p1,r1,0.632455532,0.277180765
Soldier,Soldier_vpcc_p1_r2.ply,3.8,1,vpcc,p1,r2,0.509901951,0.223470277
Soldier,Soldier_vpcc_p1_r3.ply,4.5,1,vpcc,p1,r3,0.741619849,0.325023257
Soldier,Soldier_vpcc_p1_r4.ply,4.55,1,vpcc,p1,r4,0.589491306,0.258351209
Soldier,Soldier_vpcc_p2_r1.ply,2.25,1,vpcc,p2,r1,0.62249498,0.272815441
Soldier,Soldier_vpcc_p2_r2.ply,3.3,1,vpcc,p2,r2,0.9,0.394435143
Soldier,Soldier_vpcc_p2_r3.ply,4.0,1,vpcc,p2,r3,0.632455532,0.277180765
Soldier,Soldier_vpcc_p2_r4.ply,4.5,1,vpcc,p2,r4,0.5,0.219130635
Soldier,Soldier_vpcc_p3_r1.ply,3.0,1,vpcc,p3,r1,0.547722558,0.240045584
Soldier,Soldier_vpcc_p3_r2.ply,3.7,1,vpcc,p3,r2,0.640312424,0.280624136
Soldier,Soldier_vpcc_p3_r3.ply,4.3,1,vpcc,p3,r3,0.556776436,0.244013548
Soldier,Soldier_vpcc_p3_r4.ply,4.75,1,vpcc,p3,r4,0.433012702,0.189772697
Soldier,Soldier_jpeg_p1_r1.ply,1.85,2,jpeg,p1,r1,0.572276157,0.250806476
Soldier,Soldier_jpeg_p1_r2.ply,4.1,2,jpeg,p1,r2,0.830662386,0.364047153
Soldier,Soldier_jpeg_p1_r3.ply,4.65,2,jpeg,p1,r3,0.476969601,0.209037303
Soldier,Soldier_jpeg_p1_r4.ply,4.8,2,jpeg,p1,r4,0.4,0.175304508
Soldier,Soldier_jpeg_p2_r1.ply,1.35,2,jpeg,p2,r1,0.572276157,0.250806476
Soldier,Soldier_jpeg_p2_r2.ply,3.8,2,jpeg,p2,r2,0.748331477,0.327964704
Soldier,Soldier_jpeg_p2_r3.ply,4.7,2,jpeg,p2,r3,0.556776436,0.244013548
Soldier,Soldier_jpeg_p2_r4.ply,4.85,2,jpeg,p2,r4,0.357071421,0.156490575
Soldier,Soldier_jpeg_p3_r1.ply,1.45,2,jpeg,p3,r1,0.668954408,0.293176809
Soldier,Soldier_jpeg_p3_r2.ply,3.15,2,jpeg,p3,r2,0.572276157,0.250806476
Soldier,Soldier_jpeg_p3_r3.ply,4.25,2,jpeg,p3,r3,0.62249498,0.272815441
Soldier,Soldier_jpeg_p3_r4.ply,4.7,2,jpeg,p3,r4,0.458257569,0.200836545
Boxer,Boxer_gpcc_p1_r02.ply,1.2,0,gpcc,p1,r1,0.4,0.175304508
Boxer,Boxer_gpcc_p1_r03.ply,2.5,0,gpcc,p1,r2,0.670820393,0.293994598
Boxer,Boxer_gpcc_p1_r04.ply,4.4,0,gpcc,p1,r3,0.663324958,0.290709639
Boxer,Boxer_gpcc_p1_r05.ply,4.15,0,gpcc,p1,r4,0.572276157,0.250806476
Boxer,Boxer_gpcc_p2_r02.ply,1.6,0,gpcc,p2,r1,0.663324958,0.290709639
Boxer,Boxer_gpcc_p2_r03.ply,3.05,0,gpcc,p2,r2,0.739932429,0.324283726
Boxer,Boxer_gpcc_p2_r04.ply,4.25,0,gpcc,p2,r3,0.62249498,0.272815441
Boxer,Boxer_gpcc_p2_r05.ply,4.7,0,gpcc,p2,r4,0.458257569,0.200836545
