name,mos,DT,distortion_type
banana_gQP_1_tQP_1.ply,60.30135594,2,VPCC
banana_gQP_1_tQP_2.ply,56.05951863,2,VPCC
banana_gQP_1_tQP_3.ply,52.14230175,2,VPCC
banana_gQP_2_tQP_1.ply,43.47696839,2,VPCC
banana_gQP_2_tQP_2.ply,43.98226716,2,VPCC
banana_gQP_2_tQP_3.ply,39.80857854,2,VPCC
banana_gQP_3_tQP_1.ply,29.10726664,2,VPCC
banana_gQP_3_tQP_2.ply,23.95632388,2,VPCC
banana_gQP_3_tQP_3.ply,22.65939287,2,VPCC
banana_gsigma_0_tsigma_16.ply,60.4722494,4,Gaussian_noise
banana_gsigma_0_tsigma_32.ply,40.11307634,4,Gaussian_noise
banana_gsigma_0_tsigma_08.ply,83.0931383,4,Gaussian_noise
banana_gsigma_2_tsigma_16.ply,49.66770221,4,Gaussian_noise
banana_gsigma_2_tsigma_32.ply,31.34629454,4,Gaussian_noise
banana_gsigma_2_tsigma_08.ply,50.75512514,4,Gaussian_noise
banana_gsigma_4_tsigma_16.ply,27.01710822,4,Gaussian_noise
banana_gsigma_4_tsigma_32.ply,23.38349674,4,Gaussian_noise
banana_gsigma_4_tsigma_08.ply,31.97703197,4,Gaussian_noise
banana_level_7.ply,7.109028314,3,Downsampling
banana_level_8.ply,23.08348257,3,Downsampling
banana_level_9.ply,89.49153987,3,Downsampling
banana_pqs_1_qs_16.ply,82.92557282,0,G-PCC (O)/L-PCC
banana_pqs_1_qs_32.ply,78.10954901,0,G-PCC (O)/L-PCC
banana_pqs_1_qs_48.ply,61.89404966,0,G-PCC (O)/L-PCC
banana_pqs_1_qs_64.ply,40.01541846,0,G-PCC (O)/L-PCC
banana_tsl_4_tqs_128.ply,52.49538462,1,G-PCC (T)/S-PCC
banana_tsl_4_tqs_256.ply,34.18431286,1,G-PCC (T)/S-PCC
banana_tsl_4_tqs_512.ply,29.94302564,1,G-PCC (T)/S-PCC
banana_tsl_4_tqs_064.ply,54.12092417,1,G-PCC (T)/S-PCC
banana_tsl_6_tqs_128.ply,79.9250077,1,G-PCC (T)/S-PCC
banana_tsl_6_tqs_256.ply,61.62952635,1,G-PCC (T)/S-PCC
banana_tsl_6_tqs_512.ply,35.85265105,1,G-PCC (T)/S-PCC
banana_tsl_6_tqs_064.ply,83.18362987,1,G-PCC (T)/S-PCC
banana_tsl_8_tqs_128.ply,86.14465436,1,G-PCC (T)/S-PCC
