name,mos,DT
redandblack_00.ply,8.167091837,0
redandblack_01.ply,6.45,0
redandblack_02.ply,6.734375,0
redandblack_03.ply,4.9,0
redandblack_04.ply,6.286989796,0
redandblack_05.ply,3.7578125,0
redandblack_06.ply,9.392857143,1
redandblack_07.ply,7.608333333,1
redandblack_08.ply,7.24744898,1
redandblack_09.ply,6.53125,1
redandblack_10.ply,5.515625,1
redandblack_11.ply,4.780769231,1
redandblack_12.ply,7.767307692,2
redandblack_13.ply,6.803846154,2
redandblack_14.ply,6.65,2
redandblack_15.ply,5.1640625,2
redandblack_16.ply,3.709615385,2
redandblack_17.ply,2.141666667,2
redandblack_18.ply,8.191666667,3
redandblack_19.ply,6.85,3
redandblack_20.ply,6.144132653,3
redandblack_21.ply,4.6484375,3
redandblack_22.ply,3.465384615,3
redandblack_23.ply,1.433333333,3
redandblack_24.ply,8.2578125,4
redandblack_25.ply,7.3515625,4
redandblack_26.ply,5.579081633,4
redandblack_27.ply,2.4375,4
redandblack_28.ply,2.275,4
redandblack_29.ply,1,4
redandblack_30.ply,8.125,5
redandblack_31.ply,6.441666667,5
redandblack_32.ply,5.9609375,5
redandblack_33.ply,3.394132653,5
redandblack_34.ply,1.866666667,5
redandblack_35.ply,1.848076923,5
redandblack_36.ply,8.525,6
redandblack_37.ply,6.063461538,6
redandblack_38.ply,5.96875,6
redandblack_39.ply,3.125,6
redandblack_40.ply,1.876923077,6
redandblack_41.ply,1.691666667,6
romanoillamp_00.ply,9.116666667,0
romanoillamp_01.ply,9.321428571,0
romanoillamp_02.ply,9.682692308,0
romanoillamp_03.ply,8.62244898,0
romanoillamp_04.ply,7.691326531,0
romanoillamp_05.ply,3.6171875,0
romanoillamp_06.ply,8.771683673,1
romanoillamp_07.ply,7.568877551,1
romanoillamp_08.ply,6.619897959,1
romanoillamp_09.ply,7.808333333,1
romanoillamp_10.ply,6.953125,1
romanoillamp_11.ply,6.2265625,1
romanoillamp_12.ply,7.941666667,2
romanoillamp_13.ply,8.163461538,2
romanoillamp_14.ply,8.25,2
romanoillamp_15.ply,7.544230769,2
romanoillamp_16.ply,5.125,2
romanoillamp_17.ply,2.723076923,2
romanoillamp_18.ply,9.553571429,3
romanoillamp_19.ply,8.71875,3
romanoillamp_20.ply,7.296153846,3
romanoillamp_21.ply,6.198076923,3
romanoillamp_22.ply,6.667091837,3
romanoillamp_23.ply,2.6,3
romanoillamp_24.ply,8.008333333,4
romanoillamp_25.ply,8.7734375,4
romanoillamp_26.ply,6.533333333,4
romanoillamp_27.ply,3.125,4
romanoillamp_28.ply,2.411989796,4
romanoillamp_29.ply,1.433333333,4
romanoillamp_30.ply,9.40625,5
romanoillamp_31.ply,7.008333333,5
romanoillamp_32.ply,6.166666667,5
romanoillamp_33.ply,3.93622449,5
romanoillamp_34.ply,3.7734375,5
romanoillamp_35.ply,1.5703125,5
romanoillamp_36.ply,8.433333333,6
romanoillamp_37.ply,8.5625,6
romanoillamp_38.ply,7.1953125,6
romanoillamp_39.ply,3.545918367,6
romanoillamp_40.ply,2.811538462,6
romanoillamp_41.ply,1.223076923,6
loot_00.ply,6.996153846,0
loot_01.ply,7.0859375,0
loot_02.ply,5.383333333,0
loot_03.ply,5.208333333,0
loot_04.ply,6.679846939,0
loot_05.ply,2.708333333,0
loot_06.ply,9.65,1
loot_07.ply,7.316666667,1
loot_08.ply,5.396683673,1
loot_09.ply,4.584615385,1
loot_10.ply,4.230867347,1
loot_11.ply,4.0625,1
loot_12.ply,8.267307692,2
